Cell.01	Cell.02	Cell.03	Cell.04	Cell.05	Cell.06	Cell.07	Cell.08	Cell.09	Cell.10	Cell.11	Cell.12	Cell.13	Cell.14	Cell.15	Cell.16	Cell.17	Cell.18	Cell.19	Cell.20
GeneID1127	45	56	45	67	57	0	0	0	0	0	3	2	2	4	1	0	0	0	0	0
GeneID1128	58	54	44	43	53	0	0	0	0	0	2	2	0	3	3	0	0	0	0	0
GeneID1129	29	55	58	42	50	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0
GeneID1130	50	44	60	50	60	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0
GeneID1131	41	51	45	50	61	0	0	0	0	0	1	6	0	2	4	0	0	0	0	0
GeneID1132	55	63	46	52	48	0	0	0	0	0	1	2	5	3	2	0	0	0	0	0
GeneID1133	50	56	53	46	47	0	0	0	0	0	5	3	2	1	3	0	0	0	0	0
GeneID1134	63	38	60	60	54	0	0	0	0	0	1	3	2	1	1	0	0	0	0	0
GeneID1135	56	56	47	56	48	0	0	0	0	0	0	2	0	3	6	0	0	0	0	0
GeneID1136	53	50	49	48	60	0	0	0	0	0	0	2	0	3	3	0	0	0	0	0
GeneID1137	51	50	54	58	48	0	0	0	0	0	7	2	3	3	2	0	0	0	0	0
GeneID1138	59	53	51	49	51	0	0	0	0	0	3	1	2	6	2	0	0	0	0	0
GeneID1139	64	51	54	54	46	0	0	0	0	0	3	3	4	0	3	0	0	0	0	0
GeneID1140	58	54	53	57	53	0	0	0	0	0	1	3	1	3	2	0	0	0	0	0
GeneID1141	57	73	45	41	37	0	0	0	0	0	3	5	1	4	3	0	0	0	0	0
GeneID1142	54	64	51	57	56	0	0	0	0	0	2	3	1	3	3	0	0	0	0	0
GeneID1143	49	59	53	59	53	0	0	0	0	0	2	3	1	2	1	0	0	0	0	0
GeneID1144	47	52	45	52	48	0	0	0	0	0	2	3	0	0	2	0	0	0	0	0
GeneID1145	45	44	46	40	47	0	0	0	0	0	2	1	1	1	2	0	0	0	0	0
GeneID1146	36	43	58	66	46	0	0	0	0	0	3	0	7	1	3	0	0	0	0	0
GeneID1147	51	48	52	49	63	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
GeneID1148	48	47	41	50	47	0	0	0	0	0	5	3	2	2	1	0	0	0	0	0
GeneID1149	50	64	51	36	55	0	0	0	0	0	3	3	1	0	3	0	0	0	0	0
GeneID1150	39	59	49	64	49	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0
GeneID1151	44	40	52	49	49	0	0	0	0	0	2	2	0	2	2	0	0	0	0	0
GeneID1152	49	49	58	47	47	0	0	0	0	0	2	2	1	3	3	0	0	0	0	0
GeneID1153	50	40	55	49	49	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0
GeneID1154	51	46	48	56	48	0	0	0	0	0	1	1	1	5	3	0	0	0	0	0
GeneID1155	57	50	41	47	49	0	0	0	0	0	3	5	1	3	2	0	0	0	0	0
GeneID1156	34	47	61	64	43	0	0	0	0	0	1	1	2	3	1	0	0	0	0	0
GeneID1157	54	52	56	56	45	0	0	0	0	0	4	1	4	1	2	0	0	0	0	0
GeneID1158	35	50	50	37	56	0	0	0	0	0	1	3	1	2	0	0	0	0	0	0
GeneID1159	51	52	40	54	53	0	0	0	0	0	2	1	3	1	2	0	0	0	0	0
GeneID1160	49	43	73	58	51	0	0	0	0	0	6	4	2	2	3	0	0	0	0	0
GeneID1161	47	55	52	50	46	0	0	0	0	0	2	2	4	1	1	0	0	0	0	0
GeneID1162	42	45	70	52	51	0	0	0	0	0	5	1	0	1	2	0	0	0	0	0
GeneID1163	49	38	53	58	56	0	0	0	0	0	3	1	1	4	1	0	0	0	0	0
GeneID1164	50	51	46	44	54	0	0	0	0	0	2	1	1	6	4	0	0	0	0	0
GeneID1165	54	45	42	45	51	0	0	0	0	0	1	2	3	1	1	0	0	0	0	0
GeneID1166	48	48	47	63	39	0	0	0	0	0	3	2	1	1	3	0	0	0	0	0
GeneID1167	57	59	49	46	42	0	0	0	0	0	6	3	1	3	1	0	0	0	0	0
GeneID1168	52	43	56	63	38	0	0	0	0	0	1	2	2	4	1	0	0	0	0	0
GeneID1169	59	47	52	54	54	0	0	0	0	0	1	2	0	3	4	0	0	0	0	0
GeneID1170	57	50	57	45	49	0	0	0	0	0	2	3	2	3	2	0	0	0	0	0
GeneID1171	46	52	50	54	69	0	0	0	0	0	1	3	1	1	2	0	0	0	0	0
GeneID1172	48	65	50	54	42	0	0	0	0	0	1	1	3	2	3	0	0	0	0	0
GeneID1173	41	49	47	44	68	0	0	0	0	0	3	1	2	1	0	0	0	0	0	0
GeneID1174	49	46	54	52	54	0	0	0	0	0	0	3	1	5	1	0	0	0	0	0
GeneID1175	52	43	51	56	58	0	0	0	0	0	2	2	0	1	5	0	0	0	0	0
GeneID1176	45	40	42	48	42	0	0	0	0	0	1	2	3	1	2	0	0	0	0	0
GeneID1177	53	55	49	62	45	0	0	0	0	0	2	3	2	3	0	0	0	0	0	0
GeneID1178	64	45	41	47	42	0	0	0	0	0	4	1	2	1	1	0	0	0	0	0
GeneID1179	53	55	68	42	66	0	0	0	0	0	5	0	4	3	4	0	0	0	0	0
GeneID1180	45	52	46	38	55	0	0	0	0	0	1	2	2	2	3	0	0	0	0	0
GeneID1181	48	59	48	63	51	0	0	0	0	0	6	1	3	1	3	0	0	0	0	0
GeneID1182	65	59	57	45	56	0	0	0	0	0	3	3	2	7	1	0	0	0	0	0
GeneID1183	49	58	48	53	44	0	0	0	0	0	2	1	1	3	4	0	0	0	0	0
GeneID1184	64	57	65	39	54	0	0	0	0	0	1	1	1	3	2	0	0	0	0	0
GeneID1185	46	41	56	53	40	0	0	0	0	0	3	1	1	2	1	0	0	0	0	0
GeneID1186	55	49	50	60	48	0	0	0	0	0	0	1	1	2	3	0	0	0	0	0
GeneID1187	49	47	52	42	49	0	0	0	0	0	2	3	1	3	2	0	0	0	0	0
GeneID1188	41	51	58	50	41	0	0	0	0	0	1	3	0	2	3	0	0	0	0	0
GeneID1189	52	54	47	47	41	0	0	0	0	0	3	6	6	2	2	0	0	0	0	0
GeneID1190	33	48	57	48	45	0	0	0	0	0	2	3	1	2	2	0	0	0	0	0
GeneID1191	47	43	57	46	49	0	0	0	0	0	6	0	3	2	6	0	0	0	0	0
GeneID1192	62	60	51	58	39	0	0	0	0	0	5	1	0	2	3	0	0	0	0	0
GeneID1193	40	41	47	46	47	0	0	0	0	0	2	3	1	3	1	0	0	0	0	0
GeneID1194	52	46	49	49	46	0	0	0	0	0	1	0	1	2	5	0	0	0	0	0
GeneID1195	64	40	52	51	47	0	0	0	0	0	1	0	4	5	2	0	0	0	0	0
GeneID1196	52	46	56	56	45	0	0	0	0	0	4	3	0	3	4	0	0	0	0	0
GeneID1197	40	52	46	48	48	0	0	0	0	0	3	1	1	1	0	0	0	0	0	0
GeneID1198	49	50	53	45	47	0	0	0	0	0	1	1	2	1	1	0	0	0	0	0
GeneID1199	50	39	45	45	48	0	0	0	0	0	1	2	3	3	4	0	0	0	0	0
GeneID1200	46	51	56	59	45	0	0	0	0	0	0	4	1	6	0	0	0	0	0	0
GeneID1201	53	68	52	58	51	0	0	0	0	0	1	0	2	0	4	0	0	0	0	0
GeneID1202	50	54	46	54	52	0	0	0	0	0	1	1	3	3	4	0	0	0	0	0
GeneID1203	50	50	43	55	53	0	0	0	0	0	2	0	5	1	2	0	0	0	0	0
GeneID1204	50	47	47	57	48	0	0	0	0	0	0	4	1	2	1	0	0	0	0	0
GeneID1205	49	38	48	43	52	0	0	0	0	0	3	0	2	1	0	0	0	0	0	0
GeneID1206	44	41	51	45	47	0	0	0	0	0	0	1	2	4	2	0	0	0	0	0
GeneID1207	41	46	36	60	57	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0
GeneID1208	42	48	45	44	42	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0
GeneID1209	47	50	49	56	46	0	0	0	0	0	2	4	1	0	1	0	0	0	0	0
GeneID1210	41	42	46	45	59	0	0	0	0	0	0	3	5	2	1	0	0	0	0	0
GeneID1211	62	55	47	47	63	0	0	0	0	0	1	3	5	4	1	0	0	0	0	0
GeneID1212	57	62	57	53	43	0	0	0	0	0	2	3	2	2	2	0	0	0	0	0
GeneID1213	63	47	49	45	50	0	0	0	0	0	3	0	1	2	3	0	0	0	0	0
GeneID1214	49	46	50	46	49	0	0	0	0	0	5	2	2	1	0	0	0	0	0	0
GeneID1215	54	50	55	48	46	0	0	0	0	0	1	0	1	2	2	0	0	0	0	0
GeneID1216	51	47	53	55	47	0	0	0	0	0	0	2	1	3	3	0	0	0	0	0
GeneID1217	60	40	48	44	52	0	0	0	0	0	1	7	2	3	1	0	0	0	0	0
GeneID1218	58	38	49	43	45	0	0	0	0	0	2	4	0	3	0	0	0	0	0	0
GeneID1219	57	49	44	50	46	0	0	0	0	0	3	1	3	2	2	0	0	0	0	0
GeneID1220	36	53	52	52	53	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0
GeneID1221	45	60	39	63	46	0	0	0	0	0	2	1	0	1	3	0	0	0	0	0
GeneID1222	55	45	55	43	61	0	0	0	0	0	0	4	3	3	2	0	0	0	0	0
GeneID1223	47	51	48	59	51	0	0	0	0	0	3	4	0	2	2	0	0	0	0	0
GeneID1224	46	40	53	53	48	0	0	0	0	0	2	1	0	2	2	0	0	0	0	0
GeneID1225	39	49	53	59	46	0	0	0	0	0	3	0	3	2	3	0	0	0	0	0
GeneID1226	57	36	53	43	55	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0
GeneID1227	44	47	46	44	56	0	0	0	0	0	3	4	1	1	6	0	0	0	0	0
GeneID1228	44	53	47	55	54	0	0	0	0	0	1	2	4	4	3	0	0	0	0	0
GeneID1229	48	58	61	49	47	0	0	0	0	0	2	1	1	1	4	0	0	0	0	0
GeneID1230	52	55	53	54	57	0	0	0	0	0	6	0	2	6	3	0	0	0	0	0
GeneID1231	42	52	56	56	64	0	0	0	0	0	1	0	0	3	3	0	0	0	0	0
GeneID1232	62	53	54	43	39	0	0	0	0	0	2	2	3	1	0	0	0	0	0	0
GeneID1233	54	47	53	48	56	0	0	0	0	0	4	1	4	1	3	0	0	0	0	0
GeneID1234	44	49	54	63	53	0	0	0	0	0	1	2	4	1	2	0	0	0	0	0
GeneID1235	56	42	44	59	42	0	0	0	0	0	3	3	2	3	4	0	0	0	0	0
GeneID1236	53	55	59	41	42	0	0	0	0	0	1	1	2	2	1	0	0	0	0	0
GeneID1237	46	53	46	52	53	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0
GeneID1238	49	62	47	52	55	0	0	0	0	0	1	1	5	5	4	0	0	0	0	0
GeneID1239	50	51	56	48	49	0	0	0	0	0	0	3	1	3	1	0	0	0	0	0
GeneID1240	55	51	39	42	62	0	0	0	0	0	0	1	5	2	2	0	0	0	0	0
GeneID1241	55	49	42	48	61	0	0	0	0	0	2	4	1	2	1	0	0	0	0	0
GeneID1242	47	50	40	49	43	0	0	0	0	0	2	4	1	1	0	0	0	0	0	0
GeneID1243	40	55	33	60	43	0	0	0	0	0	2	3	5	2	2	0	0	0	0	0
GeneID1244	50	47	53	46	49	0	0	0	0	0	1	1	1	3	2	0	0	0	0	0
GeneID1245	43	42	52	42	45	0	0	0	0	0	1	4	0	3	3	0	0	0	0	0
GeneID1246	63	50	49	47	46	0	0	0	0	0	4	1	1	3	0	0	0	0	0	0
GeneID1247	41	52	62	51	45	0	0	0	0	0	7	1	0	3	5	0	0	0	0	0
GeneID1248	54	60	41	45	53	0	0	0	0	0	3	2	4	6	2	0	0	0	0	0
GeneID1249	60	57	37	62	61	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0
GeneID1250	32	45	54	61	58	0	0	0	0	0	3	3	1	2	0	0	0	0	0	0
GeneID1251	64	61	44	51	49	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0
GeneID1252	68	54	54	67	52	0	0	0	0	0	1	0	1	2	4	0	0	0	0	0
GeneID1253	41	55	53	49	61	0	0	0	0	0	4	2	3	1	5	0	0	0	0	0
GeneID1254	57	56	67	46	57	0	0	0	0	0	1	1	2	1	2	0	0	0	0	0
GeneID1255	51	50	50	54	53	0	0	0	0	0	3	0	2	4	1	0	0	0	0	0
GeneID1256	44	50	49	35	57	0	0	0	0	0	3	3	3	4	1	0	0	0	0	0
GeneID1257	50	49	50	49	52	0	0	0	0	0	5	3	1	0	2	0	0	0	0	0
GeneID1258	52	53	46	47	39	0	0	0	0	0	3	4	0	2	3	0	0	0	0	0
GeneID1259	45	47	52	38	52	0	0	0	0	0	7	2	3	1	0	0	0	0	0	0
GeneID1260	50	35	52	49	44	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0
GeneID1261	59	49	54	37	55	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0
GeneID1262	34	53	68	41	46	0	0	0	0	0	2	1	3	1	0	0	0	0	0	0
GeneID1263	52	55	56	47	52	0	0	0	0	0	3	1	3	3	1	0	0	0	0	0
GeneID1264	37	47	47	48	43	0	0	0	0	0	1	6	0	3	4	0	0	0	0	0
GeneID1265	42	42	51	52	52	0	0	0	0	0	3	2	2	2	1	0	0	0	0	0
GeneID1266	53	39	38	39	38	0	0	0	0	0	1	0	2	3	1	0	0	0	0	0
GeneID1267	53	43	46	45	46	0	0	0	0	0	2	1	2	3	1	0	0	0	0	0
GeneID1268	54	57	53	46	55	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0
GeneID1269	47	42	40	54	62	0	0	0	0	0	4	0	5	2	1	0	0	0	0	0
GeneID1270	52	45	45	51	44	0	0	0	0	0	3	1	0	3	2	0	0	0	0	0
GeneID1271	55	51	36	65	51	0	0	0	0	0	4	4	2	2	2	0	0	0	0	0
GeneID1272	39	28	47	52	37	0	0	0	0	0	3	1	2	1	0	0	0	0	0	0
GeneID1273	48	58	48	56	59	0	0	0	0	0	2	1	3	2	0	0	0	0	0	0
GeneID1274	58	49	41	35	56	0	0	0	0	0	3	4	2	0	3	0	0	0	0	0
GeneID1275	44	48	52	44	52	0	0	0	0	0	3	0	0	1	2	0	0	0	0	0
GeneID1276	49	55	40	48	51	0	0	0	0	0	1	0	0	5	2	0	0	0	0	0
GeneID1277	42	55	57	46	44	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
GeneID1278	40	47	44	46	39	0	0	0	0	0	4	1	1	2	2	0	0	0	0	0
GeneID1279	69	56	66	43	48	0	0	0	0	0	1	1	2	2	0	0	0	0	0	0
GeneID1280	43	51	44	51	45	0	0	0	0	0	2	1	0	2	3	0	0	0	0	0
GeneID1281	53	40	38	57	38	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0
GeneID1282	52	50	46	52	37	0	0	0	0	0	3	2	4	0	1	0	0	0	0	0
GeneID1283	38	41	43	42	48	0	0	0	0	0	4	3	1	2	2	0	0	0	0	0
GeneID1284	42	59	49	46	52	0	0	0	0	0	3	1	2	2	2	0	0	0	0	0
GeneID1285	45	44	48	55	52	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0
GeneID1286	47	51	42	48	50	0	0	0	0	0	4	4	3	1	1	0	0	0	0	0
GeneID1287	48	45	52	61	61	0	0	0	0	0	3	7	3	2	4	0	0	0	0	0
GeneID1288	61	44	54	43	48	0	0	0	0	0	3	6	0	1	2	0	0	0	0	0
GeneID1289	58	56	46	40	33	0	0	0	0	0	1	4	1	3	1	0	0	0	0	0
GeneID1290	36	63	62	48	48	0	0	0	0	0	4	4	2	6	2	0	0	0	0	0
GeneID1291	59	57	48	49	47	0	0	0	0	0	1	3	3	2	2	0	0	0	0	0
GeneID1292	48	41	58	52	50	0	0	0	0	0	3	0	2	3	3	0	0	0	0	0
GeneID1293	44	61	50	60	48	0	0	0	0	0	1	3	1	3	4	0	0	0	0	0
GeneID1294	46	50	45	48	52	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0
GeneID1295	44	51	39	40	54	0	0	0	0	0	4	0	4	2	3	0	0	0	0	0
GeneID1296	54	68	47	55	46	0	0	0	0	0	2	1	4	5	0	0	0	0	0	0
GeneID1297	58	44	37	51	67	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0
GeneID1298	50	52	53	50	43	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0
GeneID1299	39	54	43	42	53	0	0	0	0	0	2	2	0	3	1	0	0	0	0	0
GeneID1300	42	44	43	50	44	0	0	0	0	0	4	0	1	0	5	0	0	0	0	0
GeneID1301	46	49	54	57	47	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0
GeneID1302	50	44	46	54	53	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0
GeneID1303	60	37	45	37	56	0	0	0	0	0	2	1	3	6	2	0	0	0	0	0
GeneID1304	52	55	60	59	49	0	0	0	0	0	1	3	1	2	3	0	0	0	0	0
GeneID1305	49	53	49	53	43	0	0	0	0	0	2	3	3	1	2	0	0	0	0	0
GeneID1306	32	54	61	52	57	0	0	0	0	0	0	2	1	1	3	0	0	0	0	0
GeneID1307	46	61	56	53	47	0	0	0	0	0	1	1	2	5	2	0	0	0	0	0
GeneID1308	55	51	44	54	48	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
GeneID1309	46	55	66	44	43	0	0	0	0	0	3	2	4	4	2	0	0	0	0	0
GeneID1310	52	47	51	46	52	0	0	0	0	0	2	1	4	3	3	0	0	0	0	0
GeneID1311	45	56	53	47	56	0	0	0	0	0	2	2	2	1	1	0	0	0	0	0
GeneID1312	55	44	59	51	56	0	0	0	0	0	1	0	2	2	2	0	0	0	0	0
GeneID1313	51	53	53	56	49	0	0	0	0	0	2	4	2	2	2	0	0	0	0	0
GeneID1314	43	49	45	47	47	0	0	0	0	0	1	1	5	1	2	0	0	0	0	0
GeneID1315	67	44	47	49	61	0	0	0	0	0	1	1	2	4	3	0	0	0	0	0
GeneID1316	45	45	38	40	52	0	0	0	0	0	1	1	2	3	2	0	0	0	0	0
GeneID1317	61	49	39	59	49	0	0	0	0	0	1	1	4	6	1	0	0	0	0	0
GeneID1318	39	43	52	49	41	0	0	0	0	0	4	2	1	2	1	0	0	0	0	0
GeneID1319	44	56	50	40	43	0	0	0	0	0	1	0	1	3	4	0	0	0	0	0
GeneID1320	59	49	54	49	44	0	0	0	0	0	3	1	0	3	3	0	0	0	0	0
GeneID1321	47	50	46	67	47	0	0	0	0	0	3	1	4	3	1	0	0	0	0	0
GeneID1322	58	49	59	53	43	0	0	0	0	0	2	1	2	1	0	0	0	0	0	0
GeneID1323	49	55	54	50	53	0	0	0	0	0	2	2	3	1	2	0	0	0	0	0
GeneID1324	38	61	70	43	60	0	0	0	0	0	4	1	1	5	3	0	0	0	0	0
GeneID1325	53	52	61	56	50	0	0	0	0	0	4	1	0	2	5	0	0	0	0	0
GeneID1326	47	58	55	51	51	0	0	0	0	0	2	2	0	3	2	0	0	0	0	0
GeneID1327	44	44	57	51	46	0	0	0	0	0	4	3	2	4	1	0	0	0	0	0
GeneID1328	44	49	45	51	53	0	0	0	0	0	0	2	3	2	3	0	0	0	0	0
GeneID1329	48	36	51	54	54	0	0	0	0	0	1	2	2	4	2	0	0	0	0	0
GeneID1330	50	51	40	52	39	0	0	0	0	0	4	2	6	0	1	0	0	0	0	0
GeneID1331	50	53	58	51	51	0	0	0	0	0	2	2	3	2	1	0	0	0	0	0
GeneID1332	49	38	62	58	37	0	0	0	0	0	2	1	0	4	2	0	0	0	0	0
GeneID1333	32	52	37	45	58	0	0	0	0	0	5	2	2	1	2	0	0	0	0	0
GeneID1334	57	50	50	51	42	0	0	0	0	0	3	3	4	1	2	0	0	0	0	0
GeneID1335	46	47	31	48	51	0	0	0	0	0	2	3	2	1	3	0	0	0	0	0
GeneID1336	49	50	60	66	50	0	0	0	0	0	4	2	1	1	1	0	0	0	0	0
GeneID1337	47	60	43	48	39	0	0	0	0	0	2	1	5	1	2	0	0	0	0	0
GeneID1338	56	40	62	48	51	0	0	0	0	0	0	3	2	1	2	0	0	0	0	0
GeneID1339	45	59	45	59	64	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
GeneID1340	51	50	56	44	41	0	0	0	0	0	3	3	1	0	2	0	0	0	0	0
GeneID1341	47	38	47	47	53	0	0	0	0	0	2	3	0	0	1	0	0	0	0	0
GeneID1342	56	54	52	46	47	0	0	0	0	0	1	2	0	2	1	0	0	0	0	0
GeneID1343	44	52	47	43	62	0	0	0	0	0	0	5	2	2	2	0	0	0	0	0
GeneID1344	58	63	55	53	50	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0
GeneID1345	58	55	44	58	60	0	0	0	0	0	2	3	2	3	0	0	0	0	0	0
GeneID1346	49	45	58	40	55	0	0	0	0	0	2	0	3	1	2	0	0	0	0	0
GeneID1347	44	37	42	55	48	0	0	0	0	0	1	1	3	4	2	0	0	0	0	0
GeneID1348	63	44	53	55	49	0	0	0	0	0	2	0	3	4	2	0	0	0	0	0
GeneID1349	44	52	39	62	43	0	0	0	0	0	4	1	2	5	2	0	0	0	0	0
GeneID1350	48	47	54	49	50	0	0	0	0	0	3	1	2	2	2	0	0	0	0	0
GeneID1351	52	45	53	54	55	0	0	0	0	0	2	3	6	5	2	0	0	0	0	0
GeneID1352	39	52	57	52	61	0	0	0	0	0	2	1	5	0	0	0	0	0	0	0
GeneID1353	50	57	46	57	41	0	0	0	0	0	2	2	3	1	2	0	0	0	0	0
GeneID1354	49	45	56	51	46	0	0	0	0	0	4	4	2	2	1	0	0	0	0	0
GeneID1355	57	43	46	59	53	0	0	0	0	0	0	0	3	4	3	0	0	0	0	0
GeneID1356	50	51	47	59	46	0	0	0	0	0	2	1	3	2	3	0	0	0	0	0
GeneID1357	52	59	50	48	56	0	0	0	0	0	4	2	2	1	2	0	0	0	0	0
GeneID1358	48	50	50	59	48	0	0	0	0	0	1	4	1	2	4	0	0	0	0	0
GeneID1359	48	46	49	33	58	0	0	0	0	0	7	1	2	2	2	0	0	0	0	0
GeneID1360	45	52	50	41	50	0	0	0	0	0	3	2	2	1	1	0	0	0	0	0
GeneID1361	55	51	66	52	64	0	0	0	0	0	0	0	3	4	3	0	0	0	0	0
GeneID1362	54	55	55	53	47	0	0	0	0	0	0	1	4	4	3	0	0	0	0	0
GeneID1363	43	61	51	50	54	0	0	0	0	0	0	2	1	4	1	0	0	0	0	0
GeneID1364	60	43	44	46	54	0	0	0	0	0	3	2	1	3	0	0	0	0	0	0
GeneID1365	52	52	43	61	44	0	0	0	0	0	1	3	0	2	0	0	0	0	0	0
GeneID1366	50	49	49	39	77	0	0	0	0	0	2	5	3	1	2	0	0	0	0	0
GeneID1367	56	55	41	56	61	0	0	0	0	0	2	6	3	3	4	0	0	0	0	0
GeneID1368	55	58	45	49	44	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0
GeneID1369	48	60	51	50	65	0	0	0	0	0	3	1	3	1	1	0	0	0	0	0
GeneID1370	45	54	51	38	40	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
GeneID1371	55	54	41	43	49	0	0	0	0	0	1	2	4	2	0	0	0	0	0	0
GeneID1372	55	47	59	44	47	0	0	0	0	0	3	2	2	1	4	0	0	0	0	0
GeneID1373	49	41	47	48	49	0	0	0	0	0	2	2	1	2	3	0	0	0	0	0
GeneID1374	61	60	35	47	48	0	0	0	0	0	1	4	0	3	6	0	0	0	0	0
GeneID1375	39	61	57	53	51	0	0	0	0	0	0	3	3	0	2	0	0	0	0	0
GeneID1376	74	43	41	49	48	0	0	0	0	0	3	0	3	4	1	0	0	0	0	0
GeneID1377	55	48	49	60	53	0	0	0	0	0	2	1	1	2	1	0	0	0	0	0
GeneID1378	60	47	46	41	64	0	0	0	0	0	2	3	1	2	3	0	0	0	0	0
GeneID1379	50	51	46	43	46	0	0	0	0	0	1	4	4	4	0	0	0	0	0	0
GeneID1380	63	65	54	44	43	0	0	0	0	0	4	2	2	1	3	0	0	0	0	0
GeneID1381	48	44	42	44	53	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0
GeneID1382	51	48	63	44	56	0	0	0	0	0	5	1	1	3	2	0	0	0	0	0
GeneID1383	56	42	50	53	56	0	0	0	0	0	2	1	2	5	2	0	0	0	0	0
GeneID1384	43	45	47	62	46	0	0	0	0	0	3	1	0	2	1	0	0	0	0	0
GeneID1385	53	54	47	43	40	0	0	0	0	0	0	2	4	3	2	0	0	0	0	0
GeneID1386	49	47	43	50	51	0	0	0	0	0	5	1	1	3	2	0	0	0	0	0
GeneID1387	50	54	51	56	49	0	0	0	0	0	4	2	3	0	0	0	0	0	0	0
GeneID1388	46	53	57	50	56	0	0	0	0	0	3	0	1	2	2	0	0	0	0	0
GeneID1389	54	45	52	45	50	0	0	0	0	0	2	2	2	1	1	0	0	0	0	0
GeneID1390	47	52	49	39	43	0	0	0	0	0	2	2	0	1	2	0	0	0	0	0
GeneID1391	39	35	48	50	47	0	0	0	0	0	4	2	5	3	2	0	0	0	0	0
GeneID1392	49	51	56	54	35	0	0	0	0	0	2	4	4	1	0	0	0	0	0	0
GeneID1393	42	53	49	41	52	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0
GeneID1394	60	51	39	60	42	0	0	0	0	0	1	1	2	1	2	0	0	0	0	0
GeneID1395	54	36	59	43	47	0	0	0	0	0	1	2	1	4	1	0	0	0	0	0
GeneID1396	55	66	51	66	57	0	0	0	0	0	2	2	7	1	1	0	0	0	0	0
GeneID1397	62	60	54	60	51	0	0	0	0	0	0	5	2	1	0	0	0	0	0	0
GeneID1398	55	44	44	45	41	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0
GeneID1399	54	49	50	51	57	0	0	0	0	0	0	2	3	2	1	0	0	0	0	0
GeneID1400	53	55	52	47	54	0	0	0	0	0	4	2	1	0	1	0	0	0	0	0
GeneID1401	54	45	59	54	51	0	0	0	0	0	3	3	1	2	1	0	0	0	0	0
GeneID1402	55	46	53	39	45	0	0	0	0	0	2	3	0	2	2	0	0	0	0	0
GeneID1403	42	60	44	54	38	0	0	0	0	0	0	2	3	4	4	0	0	0	0	0
GeneID1404	55	45	58	48	56	0	0	0	0	0	1	1	1	1	3	0	0	0	0	0
GeneID1405	53	51	54	58	61	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0
GeneID1406	52	49	42	44	44	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0
GeneID1407	63	59	45	48	47	0	0	0	0	0	2	2	1	2	1	0	0	0	0	0
GeneID1408	43	56	48	66	58	0	0	0	0	0	4	0	1	4	2	0	0	0	0	0
GeneID1409	49	44	57	51	58	0	0	0	0	0	1	3	0	2	3	0	0	0	0	0
GeneID1410	45	38	49	39	59	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0
GeneID1411	47	46	46	60	57	0	0	0	0	0	2	2	0	5	2	0	0	0	0	0
GeneID1412	46	46	65	49	53	0	0	0	0	0	0	3	1	5	1	0	0	0	0	0
GeneID1413	37	56	51	50	47	0	0	0	0	0	1	2	3	3	2	0	0	0	0	0
GeneID1414	54	54	50	54	44	0	0	0	0	0	0	1	2	1	4	0	0	0	0	0
GeneID1415	51	49	47	54	57	0	0	0	0	0	1	2	3	3	4	0	0	0	0	0
GeneID1416	47	45	40	53	60	0	0	0	0	0	1	3	1	3	1	0	0	0	0	0
GeneID1417	56	37	48	44	44	0	0	0	0	0	3	2	1	6	3	0	0	0	0	0
GeneID1418	49	51	51	44	48	0	0	0	0	0	0	1	4	6	0	0	0	0	0	0
GeneID1419	55	51	50	52	47	0	0	0	0	0	3	3	2	1	2	0	0	0	0	0
GeneID1420	44	55	37	41	43	0	0	0	0	0	3	1	3	0	2	0	0	0	0	0
GeneID1421	38	67	45	60	42	0	0	0	0	0	0	2	6	3	1	0	0	0	0	0
